"ID","NAME","STATUS"
"a065h00000WxjmMAAR","Absconding","Item Created"
"a065h00000WxjmNAAR","Biting","Item Created"
"a065h00000WxjmOAAR","Biting fingers","Item Created"
"a065h00000WxjmPAAR","Crying","Item Created"
"a065h00000WxjmQAAR","Flapping","Item Created"
"a065h00000WxjmRAAR","Grinding","Item Created"
"a065h00000WxjmSAAR","Hands in pants","Item Created"
"a065h00000WxjmTAAR","Head banging","Item Created"
"a065h00000WxjmUAAR","Hitting","Item Created"
"a065h00000WxjmVAAR","Hitting environment","Item Created"
"a065h00000WxjmWAAR","Hitting others","Item Created"
"a065h00000WxjmXAAR","Hitting self","Item Created"
"a065h00000WxjmYAAR","Kicking","Item Created"
"a065h00000WxjmZAAR","Kicking environment","Item Created"
"a065h00000WxjmaAAB","Kicking others","Item Created"
"a065h00000WxjmbAAB","Physical","Item Created"
"a065h00000WxjmcAAB","Pinching","Item Created"
"a065h00000WxjmdAAB","Protest","Item Created"
"a065h00000WxjmeAAB","Screaming","Item Created"
"a065h00000WxjmfAAB","Scripting","Item Created"
"a065h00000WxjmgAAB","Self-stimulatory behaviour","Item Created"
"a065h00000WxjmhAAB","Spinning","Item Created"
"a065h00000WxjmiAAB","Spitting","Item Created"
"a065h00000WxjmjAAB","Swearing","Item Created"
"a065h00000WxjmkAAB","Teeth grinding","Item Created"
"a065h00000WxjmlAAB","Throwing","Item Created"
"a065h00000WxjmmAAB","Verbal self-stimulatory behaviour","Item Created"
"a065h00000WxjmnAAB","Licking","Item Created"
"a065h00000WxjmoAAB","Verbal protest","Item Created"
